Trip_ID,Trip_Distance,Type_of_Cab,Customer_Since_Months,Life_Style_Index,Confidence_Life_Style_Index,Destination_Type,Customer_Rating,Cancellation_Last_1Month,Var1,Var2,Var3,Gender,Surge_Pricing_Type
T0005689522,87.2,C,6,3.21957,C,B,3.3125,0,,51,86,Male,2
T0005689523,37.04,E,1,2.60963,C,A,3.565,0,,48,59,Female,3
T0005689525,25.82,D,10,2.84043,B,D,2.8875,4,36,59,93,Male,3
T0005689529,107.42,A,10,,,A,1.0175,1,38,51,75,Male,3
T0005689530,106.9,E,2,2.99798,B,A,2.19375,0,,48,70,Male,3
T0005689532,29.93,B,10,2.56887,A,A,4.145,0,73,48,72,Male,1
T0005689533,25.27,B,0,,,B,1.5625,0,,48,83,Male,2
T0005689534,2.83,A,0,2.42948,C,A,1.95,0,,47,63,Female,1
T0005689536,16.55,A,2,2.89871,A,B,3.2675,0,,56,79,Male,1
T0005689537,36.76,,5,2.64466,A,A,2.46375,0,83,49,68,Male,3
T0005689538,13.44,C,6,2.68583,A,E,1.54375,0,73,47,62,Male,3
T0005689539,51.98,D,0,3.11521,C,A,3.78375,0,60,46,61,Male,3
T0005689542,26.04,A,10,2.94976,C,C,1.6825,0,,61,95,Male,1
T0005689543,108.5,C,2,2.99815,C,A,2.37,0,,59,96,Female,2
T0005689544,92.57,E,10,3.07572,C,C,3.8075,1,,52,69,Male,3
T0005689545,43.17,,9,2.55422,B,A,1.64125,3,,55,72,Male,2
T0005689546,26.42,C,0,2.7305,C,B,3.6075,0,,53,69,Male,2
T0005689547,36.22,B,0,2.74202,A,B,2.19125,0,,49,69,Male,2
T0005689548,55.02,A,10,3.20656,A,A,4.53,1,,46,66,Male,1
T0005689551,49.05,C,2,3.00109,A,K,2.45625,1,36,47,71,Male,3
T0005689553,18.15,B,10,,,B,3.765,0,59,52,79,Female,2
T0005689554,32.14,,10,2.4815,B,A,2.325,1,,51,68,Female,3
T0005689556,61.19,C,0,2.87003,C,A,3.9875,1,,48,70,Male,2
T0005689558,47.57,B,0,,,A,3.4875,0,97,49,66,Female,2
T0005689559,19.69,A,0,2.60677,C,A,1.67375,1,39,48,65,Male,3
T0005689561,22.75,B,0,2.51089,A,D,2.3725,0,,46,57,Male,2
T0005689562,37.16,C,4,,,A,3.1375,1,,72,90,Male,2
T0005689564,62.22,B,3,3.11713,B,A,4.15625,0,,49,77,Male,2
T0005689566,78.98,D,,,,L,4.04875,2,,49,68,Male,3
T0005689567,34.38,B,4,,,A,2.22,1,,52,66,Male,1
T0005689568,56.73,C,2,,,A,2.89375,0,79,47,64,Male,3
T0005689569,39.18,B,6,,,B,1.9075,0,74,55,81,Male,2
T0005689570,17.52,A,0,2.60164,A,G,2.4725,0,,47,63,Male,1
T0005689571,30.99,C,9,,,C,2.47375,0,,53,75,Female,3
T0005689573,92.91,B,10,3.11319,B,H,3.61125,2,58,68,101,Female,3
T0005689574,8.22,,10,2.90889,B,A,1.6375,2,,54,89,Male,2
T0005689576,19.57,D,10,2.72936,C,D,1.7525,1,102,52,71,Female,3
T0005689577,48.69,D,8,2.92202,A,A,3.40875,1,,57,76,Female,2
T0005689578,22.13,B,7,2.54178,A,A,2.47625,1,75,48,65,Male,2
T0005689581,18.65,B,6,2.70699,A,B,2.18,0,,51,77,Female,2
T0005689582,56.66,D,8,,,C,2.12375,0,54,51,71,Male,3
T0005689583,47.4,A,6,2.94365,C,A,2.8375,0,,54,79,Male,1
T0005689584,26.5,B,5,,,A,1.59,0,97,60,79,Male,2
T0005689586,61.95,B,10,3.17557,A,B,2.7825,0,32,54,78,Male,2
T0005689590,107.63,D,10,2.9752,B,B,3.8325,1,,46,60,Female,3
T0005689591,38.07,B,10,2.54604,C,A,1.31625,0,,56,87,Male,2
T0005689592,62.54,C,1,3.33086,C,B,3.9525,0,,49,85,Male,1
T0005689595,23.87,C,7,,,D,1.37125,0,,54,75,Male,2
T0005689597,62.6,B,7,3.29114,C,B,3.43625,1,98,51,94,Male,2
T0005689598,9.05,D,2,2.78181,A,A,2.775,2,39,54,82,Female,3
T0005689600,30.14,C,10,2.61967,C,A,1.14,0,93,54,91,Female,3
T0005689602,10.41,,3,,,A,4.21875,0,,43,59,Male,2
T0005689605,18.24,,10,2.88074,C,C,3.625,1,,52,69,Male,1
T0005689608,14.51,B,10,2.7756,C,B,3.20375,0,76,49,65,Female,2
T0005689611,9.53,D,1,2.7788,C,I,4.6925,0,50,47,59,Female,3
T0005689612,22.51,B,8,2.85474,B,A,2.17125,1,,55,82,Male,2
T0005689613,33.51,,8,3.13281,A,A,4.875,0,65,45,58,Male,3
T0005689616,66.59,A,10,2.85882,B,B,3.95,0,,46,62,Male,1
T0005689620,92.34,E,10,2.86489,B,A,2.2325,0,,49,62,Male,3
T0005689622,73.76,B,6,2.89235,B,A,3.605,1,88,46,63,Male,3
T0005689623,7.23,,10,2.31769,A,A,1.38375,0,,45,60,Female,2
T0005689624,38.19,B,2,2.6737,B,B,2.77875,0,,56,80,Male,2
T0005689625,32.03,B,6,2.63764,A,D,2.77,1,,50,67,Female,2
T0005689627,29.24,A,5,,,A,3.51375,1,,45,56,Female,1
T0005689629,106.95,C,1,2.9527,C,A,2.55375,0,,53,71,Female,2
T0005689631,78.46,,7,2.83523,B,B,2.24,0,,49,73,Male,3
T0005689632,21.46,B,,2.63792,B,A,3.62625,4,,47,78,Female,1
T0005689634,33.96,D,8,2.68813,C,E,3.39375,0,,47,58,Female,2
T0005689635,7.93,,0,,,D,3.1775,0,109,45,57,Male,2
T0005689636,31.78,C,2,2.84128,A,A,4.405,2,68,51,66,Male,2
T0005689637,15.18,C,8,2.38539,A,L,4.18125,0,,48,66,Male,1
T0005689639,19.62,B,10,3.00134,C,J,2.5525,2,,53,65,Male,1
T0005689643,44.55,C,6,3.25293,B,C,4.23375,0,100,52,80,Female,3
T0005689646,4.29,B,5,,,H,1.5425,0,92,53,76,Male,2
T0005689648,34.58,A,10,2.59889,A,A,1.485,0,,49,64,Male,3
T0005689651,41.11,A,10,3.11158,B,A,3.15375,3,76,50,78,Male,1
T0005689652,47.85,D,2,2.74385,A,D,2.525,0,,57,81,Male,3
T0005689654,51.03,B,10,2.58634,B,B,2.41875,0,47,63,89,Male,2
T0005689655,30.34,E,,2.41717,B,A,0.15125,1,,48,85,Male,2
T0005689656,61.53,C,7,3.07829,B,A,4.0275,1,72,47,75,Male,2
T0005689657,77.9,,10,2.77376,A,A,2.395,0,61,53,81,Male,3
T0005689658,30.35,B,10,2.60735,A,A,2.4875,1,41,50,65,Female,1
T0005689661,37.15,,10,2.80752,A,K,3.94625,0,,49,66,Female,2
T0005689662,92.49,B,2,3.11708,B,C,3.6725,0,,46,76,Male,2
T0005689663,47.42,C,9,2.68379,C,A,1.895,0,,47,63,Male,2
T0005689664,15.92,A,8,2.66349,A,A,2.16875,0,58,51,71,Male,1
T0005689665,37.71,B,0,2.78515,C,B,2.93,0,60,45,66,Female,2
T0005689666,108.74,D,10,2.98507,B,A,2.07625,0,,59,101,Male,3
T0005689667,17.86,,3,2.87515,A,B,3.28,1,49,54,77,Male,2
T0005689669,46.08,B,7,2.74682,A,A,3.4775,2,,51,73,Male,2
T0005689670,22.3,E,7,2.65026,C,A,2.66375,1,39,50,84,Male,3
T0005689671,42.42,C,10,2.66861,A,A,2.49625,1,,48,61,Male,3
T0005689673,4.27,B,10,,,A,2.13625,3,,51,85,Male,2
T0005689674,30.67,B,1,2.72325,A,A,2.63125,0,,57,81,Male,1
T0005689675,17.76,B,3,2.48296,C,E,3.695,1,,45,55,Male,2
T0005689676,107.77,C,10,2.95507,B,A,2.315,0,43,49,86,Male,2
T0005689678,35.57,D,4,,,A,2.935,2,42,52,73,Male,2
T0005689682,27.07,D,0,2.69554,C,A,4.39375,2,63,54,73,Male,3
T0005689683,23.08,D,3,2.93155,A,D,2.58875,0,71,54,78,Male,3
T0005689687,13.85,D,,2.36745,B,A,4.23125,0,,61,80,Male,1
T0005689688,34.82,B,0,2.86901,A,A,3.48625,0,75,49,69,Male,2
T0005689690,21,C,,2.37478,B,A,4.21,1,53,48,66,Female,2
T0005689691,37.58,C,10,2.99978,A,F,2.57,1,31,47,67,Female,3
T0005689692,15.55,B,1,2.75201,A,B,3.73125,1,,53,91,Female,2
T0005689695,106.59,D,3,3.33063,B,C,3.88875,4,46,51,92,Male,3
T0005689699,9.67,C,10,2.52498,C,D,1.75,1,,53,79,Male,3
T0005689700,17.11,B,10,2.86896,A,A,2.69125,0,,51,79,Female,2
T0005689701,45.53,D,5,,,B,2.78875,2,,54,69,Male,3
T0005689702,17.92,D,3,,,B,3.68375,2,,47,57,Female,3
T0005689703,45.16,B,0,,,A,3.41375,2,45,50,62,Male,2
T0005689704,108.63,B,4,,,A,4.3325,1,,54,76,Male,2
T0005689705,13.32,,,2.69304,B,A,2.705,0,108,49,75,Male,2
T0005689707,66.18,A,10,3.00124,C,A,3.27625,4,33,51,70,Female,3
T0005689708,107.96,B,0,2.93755,C,A,2.2275,1,,49,71,Male,3
T0005689711,29.2,C,3,2.66438,A,B,2.75,0,93,53,71,Male,3
T0005689715,45.7,B,9,2.86394,B,A,1.46625,1,,53,79,Male,2
T0005689717,29.53,B,1,,,A,3.4175,0,34,57,102,Male,2
T0005689718,93.27,D,6,2.80976,C,A,1.46375,0,,55,69,Male,3
T0005689719,30.56,D,9,2.87168,C,A,4.02,2,,49,73,Male,3
T0005689722,59.45,D,10,2.80722,B,A,0.83375,0,57,47,83,Male,3
T0005689723,29.41,,10,2.61209,C,B,2.915,1,66,52,89,Male,2
T0005689725,55.2,,0,2.91759,A,B,1.4425,0,83,50,66,Male,1
T0005689726,35.06,,3,2.70543,C,B,2.95375,0,55,51,65,Male,2
T0005689730,3.47,C,10,2.60245,A,A,3.1625,0,41,51,66,Male,2
T0005689732,19.81,B,1,2.81199,B,B,2.89625,1,,53,66,Female,1
T0005689733,25.65,E,2,2.66786,B,A,3.07375,1,105,52,70,Male,3
T0005689734,26.01,A,,2.81404,B,H,2.3825,0,68,48,73,Male,1
T0005689736,61.31,C,9,2.87298,B,B,2.32,1,,49,77,Male,2
T0005689738,33.55,E,8,2.57117,C,D,1.24625,2,,48,68,Female,3
T0005689742,106.58,B,0,3.24252,B,A,3.2175,2,45,55,95,Male,3
T0005689743,31.75,C,3,2.87022,A,A,2.72625,1,41,54,81,Male,2
T0005689744,86.2,C,10,3.17734,A,B,3.8375,0,58,58,81,Male,1
T0005689746,85.98,,10,,,B,2.02125,0,,58,86,Male,2
T0005689747,29.75,B,6,,,A,2.1275,0,,57,70,Male,1
T0005689752,86.31,C,5,,,A,2.835,0,,46,63,Male,2
T0005689754,7.59,D,1,2.56615,A,A,2.44625,0,,47,65,Female,1
T0005689756,29.7,C,7,2.68501,C,A,1.825,1,,54,69,Male,2
T0005689757,44.62,B,0,2.97945,B,A,1.9575,0,,49,62,Male,2
T0005689758,30.39,D,5,2.71447,B,A,2.3325,1,,51,66,Male,2
T0005689759,78.43,D,10,2.80833,C,A,2.4125,0,70,55,90,Male,3
T0005689760,51.23,C,2,2.85163,B,A,2.98375,0,,55,78,Male,2
T0005689763,19.19,A,6,2.9363,A,B,3.71875,0,,52,71,Female,1
T0005689764,108.93,D,0,3.53792,B,A,4.67625,3,79,54,75,Male,3
T0005689766,24.53,,6,2.82378,C,A,3.7475,0,,49,75,Male,1
T0005689767,26.46,A,2,2.86184,B,A,2.215,0,,50,65,Male,1
T0005689768,27.11,C,2,2.63147,C,A,2.03875,2,,50,63,Male,3
T0005689770,18.53,C,0,2.27926,A,B,3.5975,0,,46,58,Female,2
T0005689771,56.66,,3,3.00205,A,B,1.48,0,,48,69,Male,1
T0005689776,20.69,B,8,2.44908,C,D,2.52125,2,72,45,61,Male,2
T0005689779,61.66,A,10,,,A,3.83,1,45,43,71,Male,2
T0005689780,41.83,C,7,3.13117,B,B,2.44625,0,,48,67,Male,2
T0005689781,61.42,A,10,2.8462,B,F,3.2175,0,,49,83,Male,1
T0005689782,20.34,C,10,2.74395,A,A,4.80625,0,96,47,72,Male,2
T0005689785,46.77,C,9,2.85635,C,A,2.13375,0,71,47,71,Male,2
T0005689786,62.54,C,8,2.90623,B,B,1.33,0,,58,79,Male,2
T0005689788,49.18,A,10,2.9318,A,B,3.32375,0,73,50,76,Male,1
T0005689789,105.85,D,0,2.83226,B,A,3.39375,2,41,50,70,Male,3
T0005689790,42.56,D,2,2.66948,C,A,3.005,0,,48,66,Male,3
T0005689791,46.98,,4,2.98091,A,A,2.70375,2,,52,76,Male,2
T0005689792,81.97,D,10,2.86097,C,D,1.82875,1,83,56,86,Male,3
T0005689794,62.53,,10,,,F,3.9725,0,,57,85,Male,2
T0005689796,16.45,E,5,,,F,2.755,1,78,51,78,Male,3
T0005689797,39.7,B,10,2.78495,B,A,3.035,1,79,51,82,Male,1
T0005689798,21.52,A,9,2.87733,A,A,2.75,0,,55,77,Male,1
T0005689800,68.19,A,10,3.03818,B,A,0.96,0,,51,79,Female,1
T0005689803,18.37,A,10,2.758,B,A,2.6075,3,,47,88,Female,2
T0005689805,16.39,,9,2.39097,A,A,2.50375,1,91,47,70,Female,1
T0005689809,48.92,A,10,2.9933,B,A,3.82625,0,58,47,68,Male,3
T0005689810,48.93,D,4,2.69105,B,K,2.66875,0,84,50,71,Male,3
T0005689813,22.15,E,,2.31148,B,A,0.0025,0,43,48,63,Male,2
T0005689816,23.18,A,1,,,A,2.6175,0,91,54,81,Male,1
T0005689820,25.02,A,6,,,A,3.475,0,92,47,73,Female,1
T0005689821,9.78,E,7,,,B,3.24125,1,,45,56,Male,3
T0005689822,107.69,E,3,3.30051,B,D,3.06625,1,75,62,108,Male,3
T0005689823,18.96,B,4,2.59561,A,A,2.39,1,86,76,99,Male,2
T0005689824,56.15,A,10,2.72318,A,A,2.54375,0,111,50,81,Male,1
T0005689827,60.05,B,9,2.69862,C,A,2.33,1,108,53,74,Male,3
T0005689829,56.82,A,1,2.70079,C,A,2.77625,0,,54,76,Female,3
T0005689831,29.24,B,4,2.81802,B,D,4.10875,1,87,50,75,Male,1
T0005689834,28.58,D,4,2.56296,A,A,2.26625,2,,50,64,Female,3
T0005689835,17.78,B,3,2.79231,A,B,3.84375,2,,47,59,Female,2
T0005689836,32.75,A,1,2.52938,A,D,1.72625,1,56,61,98,Male,3
T0005689837,11.58,B,,,,C,4.05375,1,49,48,70,Male,2
T0005689838,16.42,B,4,2.95545,A,D,2.985,1,76,54,77,Female,2
T0005689839,47.24,B,8,2.69999,C,A,1.4475,1,67,52,92,Male,2
T0005689842,3.82,B,3,,,E,3.065,1,,52,69,Female,2
T0005689844,73.51,,6,,,F,2.0625,0,42,52,69,Male,3
T0005689845,30.78,D,10,2.69912,A,A,1.93125,0,88,50,76,Male,3
T0005689847,12.94,,10,2.77648,C,B,2.1925,0,,46,67,Female,3
T0005689848,65.42,,10,,,B,3.09875,0,,47,66,Male,1
T0005689849,19.38,B,4,,,C,2.48,1,,50,87,Male,1
T0005689850,17.51,D,8,2.87294,C,A,3.67,0,39,48,87,Female,1
T0005689852,20.77,A,10,3.08883,C,B,2.62375,1,,68,113,Female,2
T0005689853,29.28,D,2,2.53694,B,B,1.17875,0,97,62,98,Male,3
T0005689854,92.63,C,1,3.19329,B,C,3.68375,2,49,50,83,Male,3
T0005689856,11.19,C,9,2.47776,A,B,3.94875,2,78,50,69,Male,2
T0005689857,73.32,A,1,3.37014,B,A,4.135,1,102,52,71,Male,1
T0005689859,47.56,A,3,2.70659,A,A,1.36,0,,48,84,Male,1
T0005689860,22.51,,10,2.58557,A,A,3.725,2,,48,76,Male,1
T0005689863,108.21,B,0,,,B,2.735,0,,51,87,Female,2
T0005689867,22.14,C,9,,,A,3.16625,3,,50,70,Male,2
T0005689869,29.52,C,,2.66205,B,B,3.70125,0,,48,58,Male,2
T0005689872,9.65,D,10,2.7414,A,A,2.425,1,,50,61,Male,3
T0005689873,47.88,C,0,2.61861,C,A,2.605,2,,48,84,Male,3
T0005689875,91.44,A,10,2.79922,B,A,1.49,0,,47,69,Male,1
T0005689876,92.19,B,10,3.27724,C,A,4.13875,2,,51,83,Female,2
T0005689878,65.98,,,3.28247,C,A,3.205,1,,57,82,Male,1
T0005689879,61.86,A,10,2.89936,B,B,2.84875,3,,53,85,Female,1
T0005689880,5.41,B,10,2.84908,B,D,3.15,1,,45,66,Male,2
T0005689882,15.84,,0,2.44841,B,A,2.245,0,60,48,65,Female,2
T0005689883,27.05,A,9,3.05144,A,G,3.23625,0,,50,83,Male,1
T0005689885,81.7,B,5,,,B,3.605,0,,48,69,Male,1
T0005689889,73.58,E,1,2.74698,C,B,2.18,1,,58,77,Male,3
T0005689891,28.74,A,10,2.77123,A,A,2.39,0,78,52,82,Female,1
T0005689892,26.32,,10,2.90688,A,A,3.4825,1,68,61,85,Male,1
T0005689893,31.08,C,5,,,A,2.80375,2,76,46,75,Female,3
T0005689894,9.13,,2,2.77988,B,A,1.19875,4,41,56,111,Male,3
T0005689896,93.27,C,2,3.20548,B,A,2.31625,0,45,52,78,Female,2
T0005689897,41.13,E,0,2.69311,B,A,3.4225,0,59,50,65,Male,3
T0005689898,25.17,,5,2.47189,C,B,2.975,0,88,51,70,Male,2
T0005689899,8.82,A,1,2.83549,A,C,1.835,0,60,51,79,Male,1
T0005689900,24.66,B,10,2.7162,A,B,1.7225,0,,51,71,Male,2
T0005689901,14.74,C,10,2.99703,B,C,1.6425,0,63,56,86,Male,2
T0005689903,65.06,C,6,3.24189,B,A,2.54125,3,,64,100,Female,3
T0005689904,29.97,A,8,2.77932,A,A,3.1625,2,78,47,88,Male,1
T0005689905,60.86,B,9,2.53404,B,A,2.63,0,,47,61,Female,2
T0005689906,106.86,B,3,2.95871,B,A,3.2375,0,,48,76,Male,3
T0005689907,23.58,A,10,2.90267,A,A,2.79625,1,54,53,76,Female,2
T0005689911,65.73,A,10,3.30202,C,A,3.95875,1,58,49,80,Male,1
T0005689912,72.89,,2,2.90159,B,A,4.3475,2,,48,60,Male,3
T0005689913,27.6,,7,2.63374,A,A,1.60125,1,96,53,71,Male,3
T0005689914,47.34,,2,2.68082,A,A,3.73125,0,,47,60,Male,2
T0005689918,32.14,D,2,2.81827,A,B,3.13,1,46,55,85,Male,2
T0005689919,2.22,C,2,2.66249,B,B,1.95625,2,,52,84,Male,3
T0005689923,29.32,,10,2.62277,A,C,4.1425,2,78,51,82,Female,2
T0005689926,91.46,E,10,3.2048,C,A,2.22875,1,,61,94,Male,3
T0005689927,41.83,B,10,2.74486,C,A,3.025,0,34,55,85,Female,2
T0005689929,106.71,E,2,3.32411,B,B,4.3075,0,59,48,88,Male,3
T0005689931,93.32,B,8,,,B,1.48,3,,48,61,Male,1
T0005689932,43.32,D,10,2.75442,A,A,0.89875,1,36,55,84,Male,3
T0005689934,30.47,B,2,2.70486,A,A,4.5775,0,,46,59,Male,1
T0005689935,108.94,B,10,3.4727,B,A,2.26125,0,60,50,94,Female,2
T0005689940,63.05,B,2,3.08588,B,A,4.0675,0,40,45,79,Male,1
T0005689941,62.36,C,1,2.75583,A,A,3.7325,1,76,48,73,Male,2
T0005689943,30.35,E,2,2.70292,A,B,3.6825,2,70,50,67,Female,1
T0005689944,19.81,B,10,2.5259,B,A,1.3075,2,51,55,74,Female,2
T0005689945,62.85,D,3,3.21988,C,A,2.47875,0,,51,69,Male,3
T0005689947,29.61,E,0,,,E,2.955,0,,45,56,Female,3
T0005689948,30.62,A,10,2.96618,A,A,2.71,0,,57,103,Male,1
T0005689949,107.24,C,6,3.02694,B,A,3.5,0,,51,70,Male,3
T0005689950,19.95,B,1,2.8452,C,A,2.32125,0,31,47,74,Male,2
T0005689952,30.43,C,4,,,C,4.0225,1,,51,78,Male,1
T0005689953,93.34,B,1,2.89874,B,A,2.96875,1,,46,76,Male,2
T0005689954,92.5,E,4,2.81407,B,A,3.60625,1,41,51,70,Male,3
T0005689955,59.44,D,1,2.9353,B,H,2.015,3,,51,77,Male,3
T0005689956,19.66,C,7,2.7028,A,A,2.4825,1,,54,67,Male,3
T0005689957,26.08,A,3,,,A,3.7,0,,50,68,Male,1
T0005689958,19.02,B,0,2.42472,A,A,2.71125,0,,56,75,Female,2
T0005689960,107.69,A,10,3.17619,A,A,2.9825,0,,60,93,Male,1
T0005689961,17.77,C,2,2.67373,C,B,2.2375,0,,56,76,Female,2
T0005689962,28.52,A,5,2.84354,A,B,4.04,1,87,55,82,Female,1
T0005689964,16.83,B,10,2.6455,C,D,1.23,0,,55,73,Male,3
T0005689965,19.45,A,7,2.78176,A,A,2.4,0,,48,69,Male,2
T0005689967,13.86,,5,2.65611,C,A,4.19625,3,35,45,62,Male,2
T0005689968,30.59,D,1,2.55035,A,A,3.91125,0,,51,68,Male,1
T0005689970,55.24,B,4,3.1442,B,A,4.4125,0,,43,59,Male,1
T0005689972,82.48,,9,2.83991,B,A,3.90875,3,,54,72,Male,3
T0005689973,61.42,,2,,,H,4.90875,1,,44,54,Female,3
T0005689974,62.78,,3,2.70208,B,A,3.8,0,,51,68,Female,3
T0005689976,15.29,B,8,2.8738,C,B,3.8325,1,,48,70,Female,2
T0005689977,73.34,D,5,2.8479,B,B,3.24125,0,,47,61,Female,2
T0005689978,66.75,B,10,2.86874,C,A,2.53875,0,79,48,80,Male,3
T0005689979,9.3,,1,2.78326,A,C,3.5775,3,,45,81,Male,2
T0005689980,34.62,A,10,2.92443,C,B,3.4775,0,75,50,69,Male,1
T0005689981,45.1,C,3,2.78137,B,A,1.60375,1,73,50,76,Female,3
T0005689982,46.78,C,10,2.91506,B,A,2.08625,2,36,47,77,Male,3
T0005689983,35.23,,0,,,A,3.49375,0,,58,85,Male,1
T0005689986,56.52,D,10,2.83979,C,A,2.57875,0,43,54,83,Female,1
T0005689987,53.92,C,3,3.22876,B,A,4.77125,1,51,45,62,Male,3
T0005689988,14.91,C,,2.32476,B,A,4.0675,0,,45,64,Male,2
T0005689992,85.35,D,5,2.92786,B,A,2.63125,0,37,50,75,Male,3
T0005689993,88.21,,10,,,A,2.94,0,78,50,81,Male,1
T0005689997,23.3,,10,2.62862,B,A,3.4925,2,,53,77,Male,2
T0005689998,36.36,D,1,2.73755,A,A,3.18375,0,90,46,69,Male,2
T0005690000,61.09,D,6,2.65585,B,A,2.8525,1,54,52,74,Female,3
T0005690001,30.81,C,5,2.5452,A,B,1.8125,0,,46,62,Female,2
T0005690002,61.66,E,,2.77501,C,A,4.6425,4,,50,67,Female,3
T0005690003,62.13,C,10,3.17036,A,A,3.1925,0,54,47,75,Male,2
T0005690005,23.43,C,,2.36695,B,A,3.725,1,,45,55,Male,2
T0005690006,31.14,B,7,2.84023,C,A,2.24875,0,,51,74,Female,1
T0005690007,61.44,B,10,3.21276,B,A,2.64375,2,,52,79,Female,2
T0005690008,106.22,,,2.98024,B,B,2.04,0,94,63,102,Female,2
T0005690009,3.89,B,10,2.5541,A,J,2.47625,0,41,56,95,Male,2
T0005690011,40.59,B,0,2.68281,C,B,3.5225,0,,47,62,Male,2
T0005690012,50.46,C,10,2.94567,A,A,2.145,1,54,64,82,Male,3
T0005690014,19.99,,8,2.95287,A,A,4.45125,0,33,45,63,Female,1
T0005690015,106.23,B,2,3.09344,B,A,3.76125,4,,50,82,Male,2
T0005690016,45.23,D,5,2.82071,C,E,2.55,0,,51,65,Female,3
T0005690017,30.46,A,7,2.78323,C,B,3.89125,0,,56,96,Male,2
T0005690021,29.4,B,3,2.83064,A,L,3.03,0,76,54,96,Male,2
T0005690022,78.96,,9,2.76166,C,B,1.7375,1,45,49,64,Male,3
T0005690023,24.76,,10,2.95062,A,C,3.45125,3,56,50,102,Male,2
T0005690025,46.17,C,10,,,A,1.97375,0,52,51,76,Male,2
T0005690026,42.28,B,10,,,B,3.7575,0,,45,56,Male,2
T0005690028,21.51,C,0,3.05358,C,A,3.485,1,,49,67,Female,2
T0005690030,65.99,,7,3.01774,B,A,3.19625,1,,50,81,Male,3
T0005690031,15.63,B,10,,,C,3.70125,1,,50,80,Male,2
T0005690032,107.42,B,7,3.03172,C,B,1.58625,0,,60,95,Male,1
T0005690033,54.84,C,5,2.85953,B,A,3.30375,0,36,56,73,Male,3
T0005690034,36.45,,7,2.40487,C,A,3.28125,0,,45,70,Male,2
T0005690036,44.17,B,2,2.73486,C,B,2.70875,0,35,49,64,Male,2
